Control_ID,Family,Control_Name,Description,Baseline,Implementation_Status,Evidence_Artifact,Evidence_Source,Notes
IR-1,Incident Response,Policy and Procedures,Establish incident response policy,Moderate,Implemented,Incident_Response_Report.md,week-12_final-reckoning,Full IR report documents policy and procedures
IR-4,Incident Response,Incident Handling,Implement incident handling capability,Moderate,Implemented,Incident_Response_Report.md,week-12_final-reckoning,IR report demonstrates full incident handling lifecycle
IR-5,Incident Response,Incident Monitoring,Track and document incidents,Moderate,Implemented,attack_timeline.csv,week-10_dfir,Attack timeline CSV tracks incident progression
IR-6,Incident Response,Incident Reporting,Report incidents to appropriate authorities,Moderate,Implemented,escalation_path.txt,week-12_final-reckoning,Escalation path documents reporting chain
IR-8,Incident Response,Incident Response Plan,Develop and implement incident response plan,Moderate,Implemented,Operation_Fortress_Report.md,week-12_final-reckoning,Purple team operation demonstrates IR plan execution
MA-1,Maintenance,Policy and Procedures,Establish system maintenance policy,Moderate,Partial,notes.md,All weeks,No formal maintenance policy; lab environment maintenance documented in notes
RA-1,Risk Assessment,Policy and Procedures,Establish risk assessment policy,Moderate,Partial,HardenedOutpost_SAD.pdf,week-06_midterm-capstone,SAD includes risk section at high level
RA-3,Risk Assessment,Risk Assessment,Conduct risk assessment,Moderate,Implemented,ThreatProfile_CloudNano.md,week-07_recon-vulnerability-analysis,OSINT threat profile documents risk assessment methodology
RA-5,Risk Assessment,Vulnerability Monitoring and Scanning,Monitor and scan for vulnerabilities,Moderate,Implemented,nmap_scan_results.txt; remediation_plan.md,week-07_recon-vulnerability-analysis,Active scanning plus CVE research and remediation planning
SA-11,System and Services Acquisition,Developer Testing and Evaluation,Require developer security testing,Moderate,Implemented,OmniPortal_Assessment.md,week-08-09_exploitation-post-exploitation,Web app assessment demonstrates developer testing evaluation
SC-7,System and Communications Protection,Boundary Protection,Monitor and control communications at external boundaries,Moderate,Implemented,firewall_config.sh,week-11_active-defense,UFW firewall rules enforce boundary protection
SC-28,System and Communications Protection,Protection of Information at Rest,Protect confidentiality and integrity of information at rest,Moderate,Partial,docker-compose.yml,week-04_docker-containers,Container volumes isolated; encryption at rest not explicitly configured
SI-3,System and Information Integrity,Malicious Code Protection,Implement malicious code protection,Moderate,Implemented,custom_ids.rules,week-11_active-defense,Suricata IDS rules detect malicious code and patterns
SI-4,System and Information Integrity,System Monitoring,Monitor system to detect attacks and indicators of compromise,Moderate,Implemented,custom_ids.rules; brute_detector.py,week-11_active-defense; week-03_python-for-security,IDS rules plus Python monitoring tools provide system monitoring
SI-10,System and Information Integrity,Information Input Validation,Check validity of information inputs,Moderate,Implemented,sqli_report.txt,week-08-09_exploitation-post-exploitation,SQLi report documents input validation failures and remediations
